id,question_text,category,answer_1,answer_2,answer_3,answer_4,correct_answer
1,What is the best way to think of variables in Python?,Variable,Containers for storing values,Placeholders for data,Labels assigned to values,Reserved memory locations,3
2,What is a valid variable name in Python?,Variable,1_variable,_variable,variable-1,variable!,2
3,"Which data type is represented by the value ""Hello world!""?",Variable,String,Integer,Float,Boolean,1
4,How do you assign the value 10 to a variable named 'x' in Python?,Variable,x == 10,x = 10,int x = 10,10 -> x,2
5,What is the output of the following code? x = 5 y = x x = 10 print(y),Variable,5,10,x,error,1
6,What happens when you assign a new value to an existing variable?,Variable,The new value overwrites the old value,The variable stores both values,An error occurs,Python creates a new variable,1
7,What is the purpose of using meaningful variable names?,Variable,It makes the code easier to read and understand,It improves the program's performance,It is required by Python syntax,It helps reduce memory usage,1
8,Which of the following is NOT a valid way to modify a string variable?,Variable,string_variable = string_variable.upper(),string_variable = 'A',"string_variable += ""!""","string_variable.append(""."")",4
9,"What is the output of the following code? x = 'Python' print(x[1])",Variable,P,y,T,error,2
10,What is the recommended maximum line length for Python code according to PEP 8?,Variable,60 characters,72 characters,80 characters,There is no limit,3
11,How do you access the first element in a list named 'bikes'?,List,bikes[1],bikes(0),bikes[0],bikes.first(),3
12,Which method adds an element to the end of a list?,List,push(),insert(),append(),extend(),3
13,What is the correct way to create an empty list named 'colors'?,List,colors = [],colors = {},colors = (),colors = None,1
14,What does the 'len(numbers)' function return?,List,The sum of all numbers in the list,The data type of the 'numbers' list,The last element of the 'numbers' list,The number of elements in the 'numbers' list,4
15,Which method removes the first occurrence of a specific value from a list?,List,remove(),pop(),delete(),discard(),1
16,How can you create a sorted copy of a list 'names' without modifying the original list?,List,names.sort(),sort(names),sorted(names),names.sorted(),3
17,What is the output of the code 'squares = [1-4]; print(squares[1:3])'?,List,"[2, 3]",[1-3],[2-4],"[1, 2]",2
18,Which statement about modifying lists in Python is true?,List,Lists are immutable; their elements cannot be changed,You can add elements to a list but cannot remove them,Elements in a list can be modified using their index,Only strings can be stored in Python lists,3
19,What is the correct way to access the last element of a list 'data'?,List,data[-1],data.last(),data[len(data)],data,1
20,Which method inserts an element at a specific index in a list?,List,add(),put(),insert(),place(),3
21,What is the primary purpose of a loop in programming?,For Loop,To repeat a block of code multiple times,To define a function,To store a collection of data,To handle errors,1
22,Which type of loop is most suitable when you know the number of iterations in advance?,For Loop,while loop,for loop,conditional loop,infinite loop,2
23,What does the 'range(5)' function generate in Python?,For Loop,A list of numbers from 0 to 4,A list of numbers from 1 to 5,A random number between 0 and 5,An error message,1
24,"In a for loop, what does the loop variable represent?",For Loop,The current iteration number,A random value,The total number of iterations,The condition for loop termination,1
25,"What is the output of the following code? for i in range(2, 5): print(i)",For Loop,2 3 4 5,2 3 4,1 2 3 4,An error message,2
26,How do you create a numerical list containing the first 10 even numbers using a list comprehension?,For Loop,"even_numbers = [x for x in range(0, 20, 2)]","even_numbers = [x for x in range(2, 20)]","even_numbers = (x for x in range(0, 20, 2))","even_numbers = list(range(0, 20, 2))",1
27,What is the output of the code 'numbers = [1-4]; print(numbers[1:])'?,For Loop,[2-4],[1-3],"[1, 2]","[3, 4]",1
28,"What does the term ""slicing"" refer to when working with lists in Python?",For Loop,Removing elements from a list,Reversing the order of elements,Accessing a specific portion of a list,Sorting the elements of a list,3
29,What is a tuple in Python?,For Loop,An unordered collection of items,A mutable list,An immutable list,A dictionary-like data structure,3
30,Which of the following best describes the purpose of PEP 8 in Python?,For Loop,To enforce strict syntax rules,To provide guidelines for code style and readability,To optimize program performance,To define new data types,2
31,What is the fundamental purpose of an 'if' statement in Python?,IF Conditions,To define a loop,To create a list,To make decisions and execute code based on conditions,To print output to the console,3
32,What will the following code print? age = 25 if age >= 18: print("You are eligible to vote.") else: print("You are not eligible to vote."),IF Conditions,You are eligible to vote.,You are not eligible to vote.,Both messages will be printed.,The code will produce an error.,1
33,Which of these operators checks for inequality?,IF Conditions,==,!=,=,<=,2
34,What is a Boolean expression?,IF Conditions,An expression that evaluates to either True or False,A type of loop,A way to define variables,A method for sorting lists,1
35,How do you check if a value is present in a list named 'colors'?,IF Conditions,if value in colors:,if colors.contains(value):,if value == colors:,if value not in colors:,1
36,What is the output of the following code? number = 7 if number < 5: print("Less than 5") elif number > 10: print("Greater than 10") else: print("Between 5 and 10"),IF Conditions,Less than 5,Greater than 10,Between 5 and 10,The code will produce no output.,3
37,In Python which keyword allows you to check for an additional condition after an 'if' statement?,IF Conditions,else if,elseif,elif,else,3
38,How do you ensure that multiple blocks of code can execute based on their own conditions even if a previous 'if' or 'elif' condition is True?,IF Conditions,Use a series of independent 'if' statements.,Nest 'if' statements inside each other.,Use a 'for' loop with an 'if' statement.,This is not possible in Python.,1
39,What is the purpose of the 'else' block in an 'if-else' statement?,IF Conditions,It defines a block of code that executes if the 'if' condition is True.,It is used to check for equality within a list.,It creates a loop.,It defines a block of code that executes only if the preceding 'if' or 'elif' conditions are False.,4
40,What is the recommended practice for indenting code blocks within 'if' statements according to PEP 8?,IF Conditions,Indent using a single space.,Indent using two spaces.,Indent using four spaces.,Indentation doesn't matter in Python.,3
41,What is a key difference between a Python list and a dictionary?,Dictionaries,"Lists are ordered, dictionaries are not","Dictionaries can store different data types, lists cannot","Dictionaries use keys to access values, lists use numerical indexes","Lists are mutable, dictionaries are immutable",3
